poop,name,type,year,population,population_percent_change
0500000US01001,"Autauga County, Alabama",county,2013,54907,0.581
0500000US01001,"Autauga County, Alabama",county,2012,54590,1.198
0500000US01001,"Autauga County, Alabama",county,2011,53944,1.484
0500000US01001,"Autauga County, Alabama",county,2010,53155,7.202
0500000US01001,"Autauga County, Alabama",county,2009,49584,0
0500000US01003,"Baldwin County, Alabama",county,2013,187114,2.122
0500000US01003,"Baldwin County, Alabama",county,2012,183226,2.063
0500000US01003,"Baldwin County, Alabama",county,2011,179523,2.123
0500000US01003,"Baldwin County, Alabama",county,2010,175791,2.206
0500000US01003,"Baldwin County, Alabama",county,2009,171997,0
0500000US01005,"Barbour County, Alabama",county,2013,27321,-0.539
0500000US01005,"Barbour County, Alabama",county,2012,27469,-0.28
0500000US01005,"Barbour County, Alabama",county,2011,27546,-0.552
0500000US01005,"Barbour County, Alabama",county,2010,27699,-6.621
0500000US01005,"Barbour County, Alabama",county,2009,29663,0
0500000US01007,"Bibb County, Alabama",county,2013,22754,-0.066
0500000US01007,"Bibb County, Alabama",county,2012,22769,0.101
0500000US01007,"Bibb County, Alabama",county,2011,22746,0.602
0500000US01007,"Bibb County, Alabama",county,2010,22610,5.339
0500000US01007,"Bibb County, Alabama",county,2009,21464,0
0500000US01009,"Blount County, Alabama",county,2013,57623,0.273
0500000US01009,"Blount County, Alabama",county,2012,57466,0.571
0500000US01009,"Blount County, Alabama",county,2011,57140,0.79
0500000US01009,"Blount County, Alabama",county,2010,56692,-0.197
0500000US01009,"Blount County, Alabama",county,2009,56804,0
0500000US01011,"Bullock County, Alabama",county,2013,10746,-0.306
0500000US01011,"Bullock County, Alabama",county,2012,10779,-0.901
0500000US01011,"Bullock County, Alabama",county,2011,10877,-0.421
0500000US01011,"Bullock County, Alabama",county,2010,10923,0.055
0500000US01011,"Bullock County, Alabama",county,2009,10917,0
0500000US01013,"Butler County, Alabama",county,2013,20624,-0.511
0500000US01013,"Butler County, Alabama",county,2012,20730,-0.623
0500000US01013,"Butler County, Alabama",county,2011,20860,-0.168
0500000US01013,"Butler County, Alabama",county,2010,20895,3.497
0500000US01013,"Butler County, Alabama",county,2009,20189,0
0500000US01015,"Calhoun County, Alabama",county,2013,117714,-0.102
0500000US01015,"Calhoun County, Alabama",county,2012,117834,0.187
0500000US01015,"Calhoun County, Alabama",county,2011,117614,0.397
0500000US01015,"Calhoun County, Alabama",county,2010,117149,3.7
0500000US01015,"Calhoun County, Alabama",county,2009,112969,0
0500000US01017,"Chambers County, Alabama",county,2013,34145,-0.242
0500000US01017,"Chambers County, Alabama",county,2012,34228,-0.428
0500000US01017,"Chambers County, Alabama",county,2011,34375,-0.59
0500000US01017,"Chambers County, Alabama",county,2010,34579,-0.36
0500000US01017,"Chambers County, Alabama",county,2009,34704,0
0500000US01019,"Cherokee County, Alabama",county,2013,26034,0.451
0500000US01019,"Cherokee County, Alabama",county,2012,25917,0.38
0500000US01019,"Cherokee County, Alabama",county,2011,25819,0.463
0500000US01019,"Cherokee County, Alabama",county,2010,25700,5.211
0500000US01019,"Cherokee County, Alabama",county,2009,24427,0
0500000US01021,"Chilton County, Alabama",county,2013,43744,0.305
0500000US01021,"Chilton County, Alabama",county,2012,43611,0.384
0500000US01021,"Chilton County, Alabama",county,2011,43444,0.749
0500000US01021,"Chilton County, Alabama",county,2010,43121,2.008
0500000US01021,"Chilton County, Alabama",county,2009,42272,0
0500000US01023,"Choctaw County, Alabama",county,2013,13687,-1.091
0500000US01023,"Choctaw County, Alabama",county,2012,13838,-0.824
0500000US01023,"Choctaw County, Alabama",county,2011,13953,-1.12
0500000US01023,"Choctaw County, Alabama",county,2010,14111,-0.829
0500000US01023,"Choctaw County, Alabama",county,2009,14229,0
0500000US01025,"Clarke County, Alabama",county,2013,25573,-0.757
0500000US01025,"Clarke County, Alabama",county,2012,25768,-1.067
